photo_id,submission_id,station_name,final_status,flag_reason,captured_at,actual_prices,model_id,model_label,ocr_prices,confidence,latency_ms,input_tokens,output_tokens,cost_usd,error,raw_response_excerpt
ca6417d0-695f-40bb-9c8f-67f1d8dabf83,8a728f8e-8c8a-4d6b-955d-bb5d8d7d4c53,MOYA,verified,,2026-04-27T17:12:41.891Z,"{""ON"":7.01,""LPG"":3.64,""PB_95"":6.17}",claude-haiku-4-5,Haiku 4.5,"[{""fuel_type"":""ON"",""price_per_litre"":6.11},{""fuel_type"":""PB_95"",""price_per_litre"":6.11},{""fuel_type"":""LPG"",""price_per_litre"":3.59}]",0.85,1415,2052,111,0.002607,,"```json {   ""prices"": [     { ""fuel_type"": ""ON"", ""price_per_litre"": 6.11 },     { ""fuel_type"": ""PB_95"", ""price_per_litre"": 6.11 },     { ""fuel_type"": ""LPG"", ""price_per_litre"": 3.59 }   ],   ""confidence_score"": 0.85 } ```"
ca6417d0-695f-40bb-9c8f-67f1d8dabf83,8a728f8e-8c8a-4d6b-955d-bb5d8d7d4c53,MOYA,verified,,2026-04-27T17:12:41.891Z,"{""ON"":7.01,""LPG"":3.64,""PB_95"":6.17}",gemini-2.5-flash,Gemini Flash,"[{""fuel_type"":""ON"",""price_per_litre"":7.01},{""fuel_type"":""PB_95"",""price_per_litre"":6.17},{""fuel_type"":""LPG"",""price_per_litre"":3.64}]",0.95,6896,720,118,0.000511,,"{   ""prices"": [     {       ""fuel_type"": ""ON"",       ""price_per_litre"": 7.01     },     {       ""fuel_type"": ""PB_95"",       ""price_per_litre"": 6.17     },     {       ""fuel_type"": ""LPG"",       ""price_per_litre"": 3.64     }   ],   ""confidence_score"": 0.95 }"
ca6417d0-695f-40bb-9c8f-67f1d8dabf83,8a728f8e-8c8a-4d6b-955d-bb5d8d7d4c53,MOYA,verified,,2026-04-27T17:12:41.891Z,"{""ON"":7.01,""LPG"":3.64,""PB_95"":6.17}",gemini-2.5-pro,Gemini Pro,,,,,,,"gemini 429: {
  ""error"": {
    ""code"": 429,
    ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.5-pro\n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.5-pro\n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.5-pro\n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.5-pro\nPlease retry in 32.442183952s."",
    ""status"": ""RESOURCE_EXHAUSTED"",
    ""details"": [
      {
        ""@type"": ""type.googleapis.com/google.rpc.Help"",
        ""links"": [
          {
            ""description"": ""Learn more about Gemini API quotas"",
            ""url"": ""https://ai.google.dev/gemini-api/docs/rate-limits""
          }
        ]
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.QuotaFailure"",
        ""violations"": [
          {
            ""quotaMetric"": ""generativelanguage.googleapis.com/generate_content_free_tier_requests"",
            ""quotaId"": ""GenerateRequestsPerDayPerProjectPerModel-FreeTier"",
            ""quotaDimensions"": {
              ""location"": ""global"",
              ""model"": ""gemini-2.5-pro""
            }
          },
          {
            ""quotaMetric"": ""generativelanguage.googleapis.com/generate_content_free_tier_requests"",
            ""quotaId"": ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier"",
            ""quotaDimensions"": {
              ""location"": ""global"",
              ""model"": ""gemini-2.5-pro""
            }
          },
          {
            ""quotaMetric"": ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count"",
            ""quotaId"": ""GenerateContentInputTokensPerModelPerMinute-FreeTier"",
            ""quotaDimensions"": {
              ""location"": ""global"",
              ""model"": ""gemini-2.5-pro""
            }
          },
          {
            ""quotaMetric"": ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count"",
            ""quotaId"": ""GenerateContentInputTokensPerModelPerDay-FreeTier"",
            ""quotaDimensions"": {
              ""location"": ""global"",
              ""model"": ""gemini-2.5-pro""
            }
          }
        ]
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.RetryInfo"",
        ""retryDelay"": ""32s""
      }
    ]
  }
}
",
63a3d552-5ae8-41be-9721-a55dcd67e157,9e61b0eb-c445-43a8-9f69-89b27d565ffe,MOYA Petrol station,rejected,price_out_of_range,2026-04-27T17:04:18.751Z,"{""ON"":6.99,""LPG"":3.69,""PB_95"":6.17,""PB_98"":6.69}",claude-haiku-4-5,Haiku 4.5,"[{""fuel_type"":""ON"",""price_per_litre"":6.99},{""fuel_type"":""PB_95"",""price_per_litre"":6.11},{""fuel_type"":""PB_98"",""price_per_litre"":6.69},{""fuel_type"":""ON_PREMIUM"",""price_per_litre"":3.69},{""fuel_type"":""LPG"",""price_per_litre"":3.49}]",0.75,2273,2052,167,0.002887,,"```json {   ""prices"": [     { ""fuel_type"": ""ON"", ""price_per_litre"": 6.99 },     { ""fuel_type"": ""PB_95"", ""price_per_litre"": 6.11 },     { ""fuel_type"": ""PB_98"", ""price_per_litre"": 6.69 },     { ""fuel_type"": ""ON_PREMIUM"", ""price_per_litre"": 3.69 },     { ""fuel_type"": ""LPG"", ""price_per_litre"": 3.49 }   ],   ""confidence_score"": 0.75 } ```"
63a3d552-5ae8-41be-9721-a55dcd67e157,9e61b0eb-c445-43a8-9f69-89b27d565ffe,MOYA Petrol station,rejected,price_out_of_range,2026-04-27T17:04:18.751Z,"{""ON"":6.99,""LPG"":3.69,""PB_95"":6.17,""PB_98"":6.69}",gemini-2.5-flash,Gemini Flash,,,,,,,"gemini 503: {
  ""error"": {
    ""code"": 503,
    ""message"": ""This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later."",
    ""status"": ""UNAVAILABLE""
  }
}
",
63a3d552-5ae8-41be-9721-a55dcd67e157,9e61b0eb-c445-43a8-9f69-89b27d565ffe,MOYA Petrol station,rejected,price_out_of_range,2026-04-27T17:04:18.751Z,"{""ON"":6.99,""LPG"":3.69,""PB_95"":6.17,""PB_98"":6.69}",gemini-2.5-pro,Gemini Pro,,,,,,,"gemini 429: {
  ""error"": {
    ""code"": 429,
    ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.5-pro\n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.5-pro\n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.5-pro\n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.5-pro\nPlease retry in 24.367163379s."",
    ""status"": ""RESOURCE_EXHAUSTED"",
    ""details"": [
      {
        ""@type"": ""type.googleapis.com/google.rpc.Help"",
        ""links"": [
          {
            ""description"": ""Learn more about Gemini API quotas"",
            ""url"": ""https://ai.google.dev/gemini-api/docs/rate-limits""
          }
        ]
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.QuotaFailure"",
        ""violations"": [
          {
            ""quotaMetric"": ""generativelanguage.googleapis.com/generate_content_free_tier_requests"",
            ""quotaId"": ""GenerateRequestsPerDayPerProjectPerModel-FreeTier"",
            ""quotaDimensions"": {
              ""location"": ""global"",
              ""model"": ""gemini-2.5-pro""
            }
          },
          {
            ""quotaMetric"": ""generativelanguage.googleapis.com/generate_content_free_tier_requests"",
            ""quotaId"": ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier"",
            ""quotaDimensions"": {
              ""location"": ""global"",
              ""model"": ""gemini-2.5-pro""
            }
          },
          {
            ""quotaMetric"": ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count"",
            ""quotaId"": ""GenerateContentInputTokensPerModelPerMinute-FreeTier"",
            ""quotaDimensions"": {
              ""location"": ""global"",
              ""model"": ""gemini-2.5-pro""
            }
          },
          {
            ""quotaMetric"": ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count"",
            ""quotaId"": ""GenerateContentInputTokensPerModelPerDay-FreeTier"",
            ""quotaDimensions"": {
              ""location"": ""global"",
              ""model"": ""gemini-2.5-pro""
            }
          }
        ]
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.RetryInfo"",
        ""retryDelay"": ""24s""
      }
    ]
  }
}
",
ac1631c1-291a-4e38-8c8d-27b37abb6803,6a944a3e-d698-4b0b-a5ae-b1eb3d1323d0,MOL Petrol station,verified,,2026-04-27T16:36:26.773Z,"{""ON"":7.01,""LPG"":3.77,""PB_95"":6.17,""PB_98"":6.71,""ON_PREMIUM"":7.01}",claude-haiku-4-5,Haiku 4.5,"[{""fuel_type"":""PB_95"",""price_per_litre"":6.17},{""fuel_type"":""ON"",""price_per_litre"":7.01},{""fuel_type"":""LPG"",""price_per_litre"":3.77},{""fuel_type"":""PB_98"",""price_per_litre"":6.17},{""fuel_type"":""ON_PREMIUM"",""price_per_litre"":7.01}]",0.85,2635,2052,167,0.002887,,"```json {   ""prices"": [     { ""fuel_type"": ""PB_95"", ""price_per_litre"": 6.17 },     { ""fuel_type"": ""ON"", ""price_per_litre"": 7.01 },     { ""fuel_type"": ""LPG"", ""price_per_litre"": 3.77 },     { ""fuel_type"": ""PB_98"", ""price_per_litre"": 6.17 },     { ""fuel_type"": ""ON_PREMIUM"", ""price_per_litre"": 7.01 }   ],   ""confidence_score"": 0.85 } ```"
ac1631c1-291a-4e38-8c8d-27b37abb6803,6a944a3e-d698-4b0b-a5ae-b1eb3d1323d0,MOL Petrol station,verified,,2026-04-27T16:36:26.773Z,"{""ON"":7.01,""LPG"":3.77,""PB_95"":6.17,""PB_98"":6.71,""ON_PREMIUM"":7.01}",gemini-2.5-flash,Gemini Flash,,,,,,,"gemini 503: {
  ""error"": {
    ""code"": 503,
    ""message"": ""This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later."",
    ""status"": ""UNAVAILABLE""
  }
}
",
ac1631c1-291a-4e38-8c8d-27b37abb6803,6a944a3e-d698-4b0b-a5ae-b1eb3d1323d0,MOL Petrol station,verified,,2026-04-27T16:36:26.773Z,"{""ON"":7.01,""LPG"":3.77,""PB_95"":6.17,""PB_98"":6.71,""ON_PREMIUM"":7.01}",gemini-2.5-pro,Gemini Pro,,,,,,,"gemini 429: {
  ""error"": {
    ""code"": 429,
    ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.5-pro\n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.5-pro\n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.5-pro\n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.5-pro\nPlease retry in 18.623576971s."",
    ""status"": ""RESOURCE_EXHAUSTED"",
    ""details"": [
      {
        ""@type"": ""type.googleapis.com/google.rpc.Help"",
        ""links"": [
          {
            ""description"": ""Learn more about Gemini API quotas"",
            ""url"": ""https://ai.google.dev/gemini-api/docs/rate-limits""
          }
        ]
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.QuotaFailure"",
        ""violations"": [
          {
            ""quotaMetric"": ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count"",
            ""quotaId"": ""GenerateContentInputTokensPerModelPerDay-FreeTier"",
            ""quotaDimensions"": {
              ""location"": ""global"",
              ""model"": ""gemini-2.5-pro""
            }
          },
          {
            ""quotaMetric"": ""generativelanguage.googleapis.com/generate_content_free_tier_requests"",
            ""quotaId"": ""GenerateRequestsPerDayPerProjectPerModel-FreeTier"",
            ""quotaDimensions"": {
              ""model"": ""gemini-2.5-pro"",
              ""location"": ""global""
            }
          },
          {
            ""quotaMetric"": ""generativelanguage.googleapis.com/generate_content_free_tier_requests"",
            ""quotaId"": ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier"",
            ""quotaDimensions"": {
              ""location"": ""global"",
              ""model"": ""gemini-2.5-pro""
            }
          },
          {
            ""quotaMetric"": ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count"",
            ""quotaId"": ""GenerateContentInputTokensPerModelPerMinute-FreeTier"",
            ""quotaDimensions"": {
              ""model"": ""gemini-2.5-pro"",
              ""location"": ""global""
            }
          }
        ]
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.RetryInfo"",
        ""retryDelay"": ""18s""
      }
    ]
  }
}
",
49d5174d-51c8-4ad6-8546-53aa7ed1614d,15407bc2-6be3-4cd6-9657-10383af312f9,Orlen,verified,,2026-04-27T16:25:59.081Z,"{""ON"":6.99,""LPG"":3.77,""PB_95"":6.17,""PB_98"":6.71,""ON_PREMIUM"":7.01}",claude-haiku-4-5,Haiku 4.5,"[{""fuel_type"":""PB_95"",""price_per_litre"":6.17},{""fuel_type"":""PB_98"",""price_per_litre"":6.99},{""fuel_type"":""ON"",""price_per_litre"":6.77},{""fuel_type"":""ON_PREMIUM"",""price_per_litre"":6.71},{""fuel_type"":""LPG"",""price_per_litre"":7.01}]",0.88,2730,2052,167,0.002887,,"```json {   ""prices"": [     { ""fuel_type"": ""PB_95"", ""price_per_litre"": 6.17 },     { ""fuel_type"": ""PB_98"", ""price_per_litre"": 6.99 },     { ""fuel_type"": ""ON"", ""price_per_litre"": 6.77 },     { ""fuel_type"": ""ON_PREMIUM"", ""price_per_litre"": 6.71 },     { ""fuel_type"": ""LPG"", ""price_per_litre"": 7.01 }   ],   ""confidence_score"": 0.88 } ```"
